smiles,log_solubility,mol_weight,logp,tpsa,h_donors,h_acceptors,rotatable_bonds,aromatic_rings
CNC(=O)Oc1cccc(N=CN(C)C)c1,0.2549,221.26,1.63,53.93,1,3,3,1
COP(=S)(OC)Oc1ccc(SC)c(C)c1,-0.8241,278.33,3.61,27.69,0,5,5,1
NC(=S)Nc1ccccc1,0.5307,152.22,1.34,38.05,2,1,1,1
Oc1ccc(Cl)cc1,1.0485,128.56,2.05,20.23,1,1,0,1
Cc1cccc(N)c1,0.9759,107.16,1.58,26.02,1,1,0,1
CCOC(=O)c1ccc(N)cc1,0.1214,165.19,1.45,52.32,1,3,2,1
Clc1ccc(Cl)c(Cl)c1,-0.3499,181.45,3.65,0.0,0,0,0,1
Oc1ccccc1O,1.6872,110.11,1.1,40.46,2,2,0,1
Cc1ccccc1Br,0.3082,171.04,2.76,0.0,0,0,0,1
CCNc1ccccc1,0.5646,121.18,2.12,12.03,1,1,2,1
CN(C)C(=O)Nc1ccc(Cl)cc1,-0.0112,198.65,2.43,32.34,1,1,1,1
Brc1cc(Br)c(Br)cc1Br,-1.9902,393.7,4.74,0.0,0,0,0,1
COc1ccc(Cl)cc1,0.042,142.59,2.35,9.23,0,1,1,1
COP(=S)(OC)Oc1ccc([N+](=O)[O-])c(C)c1,-0.5676,277.24,2.8,70.83,0,6,5,1
NC(=O)c1ccccc1O,0.5065,137.14,0.49,63.32,2,2,1,1
Cc1ccccc1[N+](=O)[O-],0.2598,137.14,1.9,43.14,0,2,1,1
CCc1ccccc1C,-0.166,120.19,2.56,0.0,0,0,1,1
CCCCOC(=O)c1ccccc1C(=O)OCCCC,-0.7418,278.35,3.6,52.6,0,4,8,1
COc1c(O)c(Cl)c(Cl)c(Cl)c1Cl,-0.5579,261.92,4.01,29.46,1,2,1,1
COc1ccc([N+](=O)[O-])cc1,0.2211,153.14,1.6,52.37,0,3,2,1
Nc1ccc(S(N)(=O)=O)cc1,0.7388,172.21,-0.08,86.18,2,3,1,1
CCCN(CCC)c1c([N+](=O)[O-])cc(C(C)C)cc1[N+](=O)[O-],-1.7531,309.37,4.25,89.52,0,5,8,1
CCOP(=S)(NC(C)C)Oc1ccccc1C(=O)OC(C)C,-0.6421,345.4,3.89,56.79,1,5,8,1
Clc1cccc(Cl)c1Cl,-0.5483,181.45,3.65,0.0,0,0,0,1
O=[N+]([O-])c1ccc(Cl)c(Cl)c1,-0.1612,192.0,2.9,43.14,0,2,1,1
CCOc1ccc(NC(N)=O)cc1,0.3372,180.21,1.58,64.35,2,2,3,1
CC=Cc1ccc(OC)cc1,-0.1273,148.2,2.73,9.23,0,1,2,1
CC(C)c1ccc(NC(=O)N(C)C)cc1,-0.3238,206.29,2.9,32.34,1,1,2,1
Cc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],-0.1709,227.13,1.72,129.42,0,6,3,1
CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)c1ccccc1,-0.645,397.52,3.77,64.63,1,6,10,1
Cc1ccccc1C(C)C,-0.4321,134.22,3.12,0.0,0,0,1,1
Nc1cccc(Cl)c1,0.7243,127.57,1.92,26.02,1,1,0,1
CN(C)C(=O)Nc1cccc(C(F)(F)F)c1,-0.2725,232.2,2.8,32.34,1,1,1,1
Cc1cccc(O)c1,1.0581,108.14,1.7,20.23,1,1,0,1
O=[N+]([O-])c1ccc([N+](=O)[O-])cc1,-0.2531,168.11,1.5,86.28,0,4,2,1
CN(C)C(=O)Nc1ccccc1,0.613,164.21,1.78,32.34,1,1,1,1
ClCc1ccccc1,0.2307,126.59,2.43,0.0,0,0,1,1
CON(C)C(=O)Nc1ccc(Br)c(Cl)c1,-0.5115,293.55,3.13,41.57,1,2,2,1
CC(=O)Nc1ccc(F)cc1,0.5259,153.16,1.78,29.1,1,1,1,1
CCc1cccc(CC)c1N(COC)C(=O)CCl,-0.1902,269.77,2.99,29.54,0,2,6,1
O=[N+]([O-])c1ccc(Cl)cc1,-0.0257,157.56,2.25,43.14,0,2,1,1
O=[N+]([O-])c1ccccc1Cl,0.1533,157.56,2.25,43.14,0,2,1,1
CCCCN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,-0.9208,275.18,4.26,32.34,1,1,4,1
O=[N+]([O-])c1ccccc1,0.5162,123.11,1.59,43.14,0,2,1,1
Ic1ccccc1,-0.0693,204.01,2.29,0.0,0,0,0,1
COc1ccccc1OCC(O)COC(N)=O,0.9106,241.24,0.53,91.01,2,5,6,1
CCCCOCN(C(=O)CCl)c1c(CC)cccc1CC,-0.6402,311.85,4.16,29.54,0,2,9,1
Oc1cccc(Cl)c1Cl,0.7581,163.0,2.7,20.23,1,1,0,1
CCC(=O)Nc1ccc(Cl)c(Cl)c1,-0.0644,218.08,3.34,29.1,1,1,2,1
Cc1ccc(N)cc1,0.8017,107.16,1.58,26.02,1,1,0,1
CNC(=O)Oc1ccccc1,0.5148,151.16,1.4,38.33,1,2,1,1
Cc1cccc(C)c1C,-0.1612,120.19,2.61,0.0,0,0,0,1
CNC(=O)Oc1ccc(N(C)C)c(C)c1,0.2453,208.26,1.78,41.57,1,3,2,1
N#Cc1cc(Br)c(O)c(Br)c1,-0.2241,276.91,2.79,44.02,1,2,0,1
Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,-0.6838,266.34,4.66,20.23,1,1,0,1
NC(=O)NCc1ccccc1,0.9275,150.18,0.85,55.12,2,1,2,1
Cc1ccc(NC(=O)N(C)C)cc1Cl,-0.2981,212.68,2.74,32.34,1,1,1,1
CON(C)C(=O)Nc1ccc(Cl)c(Cl)c1,-0.3509,249.1,3.02,41.57,1,2,2,1
CS(=O)(=O)c1ccc(C(O)C(CO)NC(=O)C(Cl)Cl)cc1,0.3449,356.23,0.4,103.7,3,5,6,1
O=[N+]([O-])c1ccc(O)cc1,1.0291,139.11,1.3,63.37,1,3,1,1
Nc1ccccc1[N+](=O)[O-],0.4388,138.13,1.18,69.16,1,3,1,1
Cc1c([N+](=O)[O-])cccc1[N+](=O)[O-],-0.0644,182.13,1.81,86.28,0,4,2,1
Brc1ccc(Br)c(Br)c1,-0.7902,314.8,3.97,0.0,0,0,0,1
Cc1ccc(C(C)C)cc1O,0.3807,150.22,2.82,20.23,1,1,1,1
Cc1cc(Cl)ccc1N=CN(C)C,0.0033,196.68,2.87,15.6,0,1,2,1
Nc1ccc([N+](=O)[O-])cc1,0.2404,138.13,1.18,69.16,1,3,1,1
Clc1ccccc1,0.2356,112.56,2.34,0.0,0,0,0,1
Brc1ccc(I)cc1,-0.8192,282.91,3.05,0.0,0,0,0,1
CCCCCc1ccccc1,-0.8579,148.25,3.42,0.0,0,0,4,1
Oc1ccc(Cl)c(Cl)c1,0.7823,163.0,2.7,20.23,1,1,0,1
CCN(CC)c1ccccc1,-0.0789,149.24,2.53,3.24,0,1,3,1
Fc1cccc(F)c1,0.4194,114.09,1.96,0.0,0,0,0,1
CC(C)(C)Cc1ccccc1,-0.6208,148.25,3.28,0.0,0,0,1,1
Clc1ccccc1I,-0.3257,238.45,2.94,0.0,0,0,0,1
Cc1cccc(C)c1O,0.763,122.17,2.01,20.23,1,1,0,1
COP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1Cl,-0.6983,297.66,3.14,70.83,0,6,5,1
CCc1cccc(C)c1N(C(=O)CCl)C(C)COC,0.0662,283.8,3.16,29.54,0,2,6,1
OCc1ccccc1,1.1936,108.14,1.18,20.23,1,1,1,1
Oc1ccc(Br)cc1,0.8598,173.01,2.15,20.23,1,1,0,1
O=[N+]([O-])c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,-0.0112,213.1,1.41,129.42,0,6,3,1
Brc1ccc(Br)cc1,-0.5821,235.91,3.21,0.0,0,0,0,1
Clc1ccc(Cl)cc1,-0.1951,147.0,2.99,0.0,0,0,0,1
Clc1cc(Cl)cc(Cl)c1,-0.7805,181.45,3.65,0.0,0,0,0,1
O=Cc1ccccc1,0.8114,106.12,1.5,17.07,0,1,1,1
N=C(N)NS(=O)(=O)c1ccc(N)cc1,0.4243,214.25,-0.56,122.06,4,4,2,1
COC(=O)c1ccc(O)cc1,0.5032,152.15,1.18,46.53,1,3,1,1
Cc1ccc(O)c(C)c1,0.8114,122.17,2.01,20.23,1,1,0,1
O=[N+]([O-])c1cccc(Cl)c1,0.0469,157.56,2.25,43.14,0,2,1,1
FC(F)(F)c1ccccc1,0.1727,146.11,2.71,0.0,0,0,0,1
CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCC,-1.5857,334.46,5.16,52.6,0,4,12,1
COC(=O)c1ccccc1C(=O)OC,0.584,194.19,1.26,52.6,0,4,2,1
Clc1cc(Cl)c(Cl)cc1Cl,-1.3031,215.89,4.3,0.0,0,0,0,1
Nc1ccccc1Cl,0.6517,127.57,1.92,26.02,1,1,0,1
COc1cccc(Cl)c1,0.042,142.58,2.35,9.23,0,1,1,1
O=Cc1ccc(O)cc1,0.9227,122.12,1.2,37.3,1,2,1,1
Fc1ccccc1Br,0.0807,175.0,2.59,0.0,0,0,0,1
Oc1ccc(Cl)cc1Cl,0.6372,163.0,2.7,20.23,1,1,0,1
Cc1ccccc1N,0.3178,107.16,1.58,26.02,1,1,0,1
C=CCc1ccc(OC)cc1,-0.0257,148.2,2.42,9.23,0,1,3,1
CN(C)C(=O)Nc1cccc(OC(=O)NC(C)(C)C)c1,-0.0305,279.34,2.67,70.67,2,3,2,1
Clc1ccccc1Cl,-0.0886,147.0,2.99,0.0,0,0,0,1
Nc1cccc([N+](=O)[O-])c1,0.3275,138.13,1.18,69.16,1,3,1,1
Oc1cc(Cl)cc(Cl)c1Cl,0.0953,197.45,3.35,20.23,1,1,0,1
Nc1ccccc1,1.1888,93.13,1.27,26.02,1,1,0,1
Brc1cc(Br)cc(Br)c1,-1.3224,314.8,3.97,0.0,0,0,0,1
COP(=S)(OC)Oc1cc(Cl)c(Cl)cc1Cl,-1.3805,321.55,4.54,27.69,0,4,4,1
C=CCc1ccc(O)c(OC)c1,0.6323,164.2,2.13,29.46,1,2,3,1
O=[N+]([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,-1.4289,295.34,4.86,43.14,0,2,1,1
COC(=O)c1cc(O)c(O)c(O)c1,0.7872,184.15,0.59,86.99,3,5,1,1
Fc1cccc(Br)c1,0.0953,175.0,2.59,0.0,0,0,0,1
Clc1ccc(Br)cc1,-0.3692,191.45,3.1,0.0,0,0,0,1
COc1ccccc1[N+](=O)[O-],0.4388,153.14,1.6,52.37,0,3,2,1
CCC(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,-0.2483,240.21,2.72,106.51,1,5,4,1
COc1ccccc1O,0.4388,124.14,1.4,29.46,1,2,1,1
Oc1ccc(Cl)c(Cl)c1Cl,0.0953,197.45,3.35,20.23,1,1,0,1
COc1ccccc1,0.492,108.14,1.7,9.23,0,1,1,1
CCc1ccc(C)cc1,-0.1176,120.19,2.56,0.0,0,0,1,1
O=[N+]([O-])c1cccc([N+](=O)[O-])c1,0.2791,168.11,1.5,86.28,0,4,2,1
Nc1ccc(Cl)cc1,0.584,127.57,1.92,26.02,1,1,0,1
CC(C)(C)c1ccccc1,-0.3838,134.22,2.98,0.0,0,0,0,1
Brc1ccccc1,0.1533,157.01,2.45,0.0,0,0,0,1
CCOC(=O)c1ccc(O)cc1,0.2501,166.18,1.57,46.53,1,3,2,1
COC(=O)c1ccccc1,0.492,136.15,1.47,26.3,0,2,1,1
CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,-0.4515,233.1,3.09,32.34,1,1,1,1
Oc1ccccc1Cl,0.8743,128.56,2.05,20.23,1,1,0,1
CCOc1ccccc1,0.2598,122.17,2.09,9.23,0,1,2,1
CCOC(=O)C=Cc1ccccc1,-0.0644,176.22,2.26,26.3,0,2,3,1
Cc1ccc(S(N)(=O)=O)cc1,0.5452,171.22,0.64,60.16,1,2,1,1
C#CC(C)OC(=O)Nc1cccc(Cl)c1,0.1209,223.66,2.91,38.33,1,2,2,1
CCOP(=S)(OCC)Oc1ccc(S(C)=O)cc1,0.2743,308.36,3.1,44.76,0,5,7,1
Cc1ccc(C)c(C)c1,-0.2144,120.19,2.61,0.0,0,0,0,1
Oc1cc(Cl)c(Cl)cc1Cl,0.3178,197.45,3.35,20.23,1,1,0,1
NNc1ccccc1,1.421,108.14,0.97,38.05,2,2,1,1
Oc1c(Cl)ccc(Cl)c1Cl,0.1098,197.45,3.35,20.23,1,1,0,1
Brc1cccc(Br)c1,-0.3257,235.91,3.21,0.0,0,0,0,1
CC(=O)Nc1ccccc1,0.7436,135.17,1.64,29.1,1,1,1,1
CC(=O)c1ccccc1,0.7678,120.15,1.89,17.07,0,1,1,1
CCCOC(=O)c1ccc(N)cc1,0.2007,179.22,1.84,52.32,1,3,3,1
CCOC(=O)c1ccccc1,0.2646,150.18,1.86,26.3,0,2,2,1
CON(C)C(=O)Nc1ccc(Cl)cc1,0.1436,214.65,2.37,41.57,1,2,2,1
Cc1ccc(Br)cc1,-0.1563,171.04,2.76,0.0,0,0,0,1
CCCCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],-1.2886,335.28,4.15,89.52,0,5,7,1
Cc1cc(C)c(O)c(C)c1,0.3953,136.19,2.32,20.23,1,1,0,1
c1ccccc1,0.5936,78.11,1.69,0.0,0,0,0,1
Clc1ccc(I)cc1,-0.5628,238.45,2.94,0.0,0,0,0,1
COc1ccc(NC(=O)N(C)C)cc1Cl,0.1465,228.68,2.44,41.57,1,2,2,1
CC(C)N(C(=O)CCl)c1ccccc1,0.1872,211.69,2.67,20.31,0,1,3,1
C=Cc1ccccc1,0.0227,104.15,2.33,0.0,0,0,1,1
Cc1ccccc1C,0.0324,106.17,2.3,0.0,0,0,0,1
Oc1ccc(O)cc1,1.3049,110.11,1.1,40.46,2,2,0,1
CCCCCCc1ccc(O)cc1O,0.134,194.27,3.22,40.46,2,2,5,1
Oc1c(Cl)cc(Cl)c(Cl)c1Cl,-0.1128,231.89,4.01,20.23,1,1,0,1
Clc1cccc(Cl)c1,-0.0838,147.0,2.99,0.0,0,0,0,1
CSc1ccccc1,0.2307,124.21,2.41,0.0,0,1,1,1
CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,-1.9805,390.56,6.43,52.6,0,4,14,1
Cc1cc(C)cc(O)c1,0.7098,122.17,2.01,20.23,1,1,0,1
O=C(Nc1cccc(Cl)c1)OCC#CCCl,-0.7273,258.1,3.13,38.33,1,2,2,1
CC(=O)Nc1ccc(Cl)cc1,0.0116,169.61,2.3,29.1,1,1,1,1
CNc1ccccc1,0.7678,107.16,1.73,12.03,1,1,1,1
Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,0.6827,198.13,1.52,106.51,1,5,2,1
Oc1cccc(Cl)c1,1.0485,128.56,2.05,20.23,1,1,0,1
Clc1cccc(Br)c1,-0.166,191.45,3.1,0.0,0,0,0,1
OCCOc1ccccc1,1.0485,138.17,1.06,29.46,1,2,3,1
CCc1ccccc1,0.0469,106.17,2.25,0.0,0,0,1,1
C#CC(C)N(C)C(=O)Nc1ccc(Cl)cc1,-0.4999,236.7,2.83,32.34,1,1,2,1
COc1ccc(C=O)cc1,0.6662,136.15,1.51,26.3,0,2,2,1
CC(=O)Nc1ccc([N+](=O)[O-])cc1,0.0846,180.16,1.55,72.24,1,3,2,1
CC(=O)Nc1ccc(O)cc1,0.8888,151.16,1.35,49.33,2,2,1,1
CCCCOc1ccc(C(=O)OCC)c(N(CC)CC)c1,-0.4709,293.41,3.89,38.77,0,4,9,1
Cc1c(C)c(C)c(C)c(C)c1C,-1.1434,162.28,3.54,0.0,0,0,0,1
Cc1ccc(C(C)C)c(O)c1,0.313,150.22,2.82,20.23,1,1,1,1
CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,-0.8676,291.26,3.27,70.83,0,6,7,1
CC(C)OC(=O)Nc1cccc(Cl)c1,-0.2483,213.66,3.3,38.33,1,2,2,1
CC(O)c1ccccc1,0.942,122.17,1.74,20.23,1,1,1,1
CC(C)CCCCCOC(=O)c1ccccc1C(=O)OCCCCCC(C)C,-1.8242,390.56,6.43,52.6,0,4,14,1
Cc1cc(C)cc(C)c1,-0.258,120.19,2.61,0.0,0,0,0,1
CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,-1.0878,390.56,6.72,52.6,0,4,16,1
O=[N+]([O-])c1ccccc1[N+](=O)[O-],-0.1128,168.11,1.5,86.28,0,4,2,1
Fc1ccc(F)cc1,0.434,114.09,1.96,0.0,0,0,0,1
CCCN(CCC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],-1.3612,335.28,4.15,89.52,0,5,7,1
CCNC(=O)C(C)OC(=O)Nc1ccccc1,0.5017,236.27,1.76,67.43,2,3,4,1
Cc1ccc([N+](=O)[O-])cc1,0.1824,137.14,1.9,43.14,0,2,1,1
Cc1ccc(O)cc1,1.0339,108.14,1.7,20.23,1,1,0,1
CN(C)c1ccccc1,0.4582,121.18,1.75,3.24,0,1,1,1
CNC(=O)Oc1ccccc1C(C)C,0.0019,193.25,2.53,38.33,1,2,2,1
COc1ccccc1Cl,0.1969,142.58,2.35,9.23,0,1,1,1
COP(=S)(OC)Oc1cc(Cl)c(Br)cc1Cl,-1.5595,366.0,4.65,27.69,0,4,4,1
Cc1ccc(C(C)C)cc1,-0.437,134.22,3.12,0.0,0,0,1,1
Oc1c(Cl)cccc1Cl,0.5211,163.0,2.7,20.23,1,1,0,1
O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,0.3657,323.13,0.91,112.7,3,5,6,1
Brc1ccccc1Br,-0.3063,235.91,3.21,0.0,0,0,0,1
Oc1c(Cl)cc(Cl)cc1Cl,0.2549,197.45,3.35,20.23,1,1,0,1
CCCN(CCC)c1c([N+](=O)[O-])cc(S(N)(=O)=O)cc1[N+](=O)[O-],-1.1095,346.37,1.78,149.68,1,7,8,1
Cc1ccc(O)cc1C,0.7194,122.17,2.01,20.23,1,1,0,1
Sc1ccccc1,0.3614,110.18,1.98,0.0,1,1,0,1
CNC(=O)Oc1cc(C)cc(C)c1,0.1383,179.22,2.02,38.33,1,2,1,1
NC(=O)c1ccccc1,0.9227,121.14,0.79,43.09,1,1,1,1
Clc1ccccc1Br,-0.1563,191.45,3.1,0.0,0,0,0,1
Oc1cc(Cl)cc(Cl)c1,0.7388,163.0,2.7,20.23,1,1,0,1
Cc1ccccc1,0.3178,92.14,2.0,0.0,0,0,0,1
Oc1cc(Cl)c(Cl)c(Cl)c1Cl,-0.137,231.89,4.01,20.23,1,1,0,1
CCOC(=O)c1ccccc1C(=O)OCC,0.2501,222.24,2.04,52.6,0,4,4,1
CC(C)Cc1ccccc1,-0.6063,134.22,2.89,0.0,0,0,2,1
Oc1c(Cl)c(Cl)cc(Cl)c1Cl,-0.2434,231.89,4.01,20.23,1,1,0,1
CCCc1ccccc1,-0.2434,120.19,2.64,0.0,0,0,2,1
Cc1cc(C)c(C)cc1C,-0.8337,134.22,2.92,0.0,0,0,0,1
CC(=O)Nc1cc(NS(=O)(=O)C(F)(F)F)c(C)cc1C,-0.1805,310.3,2.52,75.27,2,3,3,1
CNC(=O)Oc1cc(C(C)(C)C)cc(C(C)(C)C)c1,-0.6644,263.38,4.0,38.33,1,2,1,1
CCCCc1ccccc1,-0.5773,134.22,3.03,0.0,0,0,3,1
N#Cc1ccccc1C#N,0.2356,128.13,1.43,47.58,0,2,0,1
Cc1cccc([N+](=O)[O-])c1,0.2065,137.14,1.9,43.14,0,2,1,1
COP(=O)(OC)OC(=CCl)c1cc(Cl)c(Cl)cc1Cl,-0.8008,365.96,5.6,44.76,0,4,5,1
Clc1cc(Cl)c(-c2c(Cl)cccc2Cl)c(Cl)c1,-2.1547,326.44,6.62,0.0,0,0,1,2
Clc1ccc(-c2c(Cl)ccc(Cl)c2Cl)c(Cl)c1,-2.2079,326.44,6.62,0.0,0,0,1,2
Clc1cccc(-c2ccccc2)c1,-0.9741,188.66,4.01,0.0,0,0,1,2
Clc1cccc(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1Cl,-2.774,360.88,7.27,0.0,0,0,1,2
Clc1cc(Cl)c(Cl)c(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1Cl,-3.0401,429.77,8.58,0.0,0,0,1,2
Clc1ccccc1-c1ccccc1Cl,-1.1628,223.1,4.66,0.0,0,0,1,2
Clc1cccc(-c2cc(Cl)ccc2Cl)c1,-1.5208,257.55,5.31,0.0,0,0,1,2
Clc1ccc(Cl)c(-c2ccc(Cl)c(Cl)c2)c1,-2.1208,291.99,5.97,0.0,0,0,1,2
Clc1ccccc1-c1ccccc1,-0.8096,188.66,4.01,0.0,0,0,1,2
Clc1ccc(-c2ccccc2Cl)cc1,-1.1676,223.1,4.66,0.0,0,0,1,2
Clc1ccc(-c2ccc(Cl)cc2)cc1,-1.7869,223.1,4.66,0.0,0,0,1,2
Cc1ccc(-c2ccccc2)cc1,-0.8483,168.24,3.66,0.0,0,0,1,2
Clc1cc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c(Cl)c1Cl,-3.045,429.77,8.58,0.0,0,0,1,2
Clc1cc(Cl)c(-c2cccc(Cl)c2Cl)cc1Cl,-2.1015,326.44,6.62,0.0,0,0,1,2
Clc1ccc(-c2cccc(Cl)c2Cl)cc1,-1.6563,257.55,5.31,0.0,0,0,1,2
Clc1ccc(-c2ccccc2)cc1Cl,-1.7047,223.1,4.66,0.0,0,0,1,2
Clc1cccc(-c2cccc(Cl)c2Cl)c1Cl,-2.1353,291.99,5.97,0.0,0,0,1,2
Oc1ccc(-c2ccccc2)cc1,-0.2967,170.21,3.06,20.23,1,1,1,2
Clc1ccc(-c2cc(Cl)ccc2Cl)c(Cl)c1,-1.7918,291.99,5.97,0.0,0,0,1,2
Clc1ccc(-c2ccc(Cl)c(Cl)c2Cl)c(Cl)c1,-2.3869,326.44,6.62,0.0,0,0,1,2
Clc1ccc(-c2ccc(Cl)c(Cl)c2Cl)c(Cl)c1Cl,-2.4885,360.88,7.27,0.0,0,0,1,2
Nc1ccc(-c2ccc(N)cc2)cc1,0.0807,184.24,2.52,52.04,2,2,1,2
Clc1c(Cl)c(Cl)c(-c2ccccc2)c(Cl)c1Cl,-2.445,326.44,6.62,0.0,0,0,1,2
Clc1c(Cl)c(Cl)c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl,-4.2256,498.66,9.89,0.0,0,0,1,2
Clc1ccc(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1,-2.445,395.33,7.93,0.0,0,0,1,2
Clc1ccc(Cl)c(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c1,-2.3289,360.88,7.27,0.0,0,0,1,2
Clc1ccc(Cl)c(-c2cccc(Cl)c2Cl)c1,-1.7434,291.99,5.97,0.0,0,0,1,2
Clc1ccc(Cl)c(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1,-2.2031,360.88,7.27,0.0,0,0,1,2
Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)cc1Cl,-2.3966,360.88,7.27,0.0,0,0,1,2
c1ccc(-c2ccccc2)cc1,-0.7152,154.21,3.35,0.0,0,0,1,2
Clc1cc(Cl)c(-c2c(Cl)cc(Cl)cc2Cl)c(Cl)c1,-2.8272,360.88,7.27,0.0,0,0,1,2
Clc1ccc(Cl)c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c1,-2.9385,395.33,7.93,0.0,0,0,1,2
Clc1ccc(-c2cc(Cl)ccc2Cl)cc1,-1.637,257.55,5.31,0.0,0,0,1,2
Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1,-2.1885,360.88,7.27,0.0,0,0,1,2
Clc1cccc(Cl)c1-c1ccccc1,-1.1337,223.1,4.66,0.0,0,0,1,2
Clc1ccc(-c2c(Cl)cccc2Cl)cc1,-1.5837,257.55,5.31,0.0,0,0,1,2
Clc1cccc(Cl)c1-c1c(Cl)cccc1Cl,-2.1885,291.99,5.97,0.0,0,0,1,2
Clc1cc(Cl)c(-c2cc(Cl)c(Cl)cc2Cl)cc1Cl,-2.7547,360.88,7.27,0.0,0,0,1,2
Clc1ccc(-c2c(Cl)cc(Cl)c(Cl)c2Cl)c(Cl)c1Cl,-2.3192,395.33,7.93,0.0,0,0,1,2
Clc1ccc2ccccc2c1,-0.616,162.62,3.49,0.0,0,0,0,2
Cc1ccc(C)c2ccccc12,-0.616,156.23,3.46,0.0,0,0,0,2
Cc1cc(C)c2ccccc2c1,-0.6886,156.23,3.46,0.0,0,0,0,2
CCc1cccc2ccccc12,-0.6305,156.23,3.4,0.0,0,0,1,2
Brc1cccc2ccccc12,-0.7176,207.07,3.6,0.0,0,0,0,2
Nc1cccc2ccccc12,0.4582,143.19,2.42,26.02,1,1,0,2
Oc1ccc2ccccc2c1,0.284,144.17,2.55,20.23,1,1,0,2
Brc1ccc2ccccc2c1,-0.7418,207.07,3.6,0.0,0,0,0,2
c1ccc2ccccc2c1,-0.3547,128.17,2.84,0.0,0,0,0,2
Ic1cccc2ccccc12,-0.8144,254.07,3.44,0.0,0,0,0,2
Cc1ccc2ccccc2c1,-0.437,142.2,3.15,0.0,0,0,0,2
Clc1cccc2ccccc12,-0.5144,162.62,3.49,0.0,0,0,0,2
CCc1ccc2ccccc2c1,-0.6886,156.23,3.4,0.0,0,0,1,2
Cc1cccc2ccccc12,-0.4031,142.2,3.15,0.0,0,0,0,2
CCN(CC)C(=O)C(C)Oc1cccc2ccccc12,-0.3402,271.36,3.48,29.54,0,2,5,2
Cc1ccc2cc(C)ccc2c1,-0.9789,156.23,3.46,0.0,0,0,0,2
Cc1cccc2c(C)cccc12,-0.8768,156.23,3.46,0.0,0,0,0,2
Oc1cccc2ccccc12,0.313,144.17,2.55,20.23,1,1,0,2
Cc1cc2ccccc2cc1C,-0.8966,156.23,3.46,0.0,0,0,0,2
O=[N+]([O-])c1cccc2ccccc12,-0.3257,173.17,2.75,43.14,0,2,1,2
CNC(=O)Oc1cccc2ccccc12,-0.1728,201.22,2.56,38.33,1,2,1,2
CCCCC1(CC)C(=O)NC(=O)NC1=O,0.5835,212.25,0.94,75.27,2,3,4,0
CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,0.193,226.28,1.18,75.27,2,3,4,0
CCC(C)C1(CC)C(=O)NC(=O)NC1=O,0.2307,212.25,0.79,75.27,2,3,3,0
C=CCC1(C)C(=O)NC(=O)NC1=O,0.8259,182.18,-0.07,75.27,2,3,2,0
C=CCC1(C(C)CC)C(=O)NC(=O)NC1=O,0.4117,224.26,0.96,75.27,2,3,4,0
CC(C)C1(C(C)C)C(=O)NC(=O)NC1=O,0.0488,212.25,0.65,75.27,2,3,2,0
CCC1(CC)C(=O)NC(=O)NC1=O,0.2259,184.19,0.16,75.27,2,3,2,0
CCC1(CC)C(=O)NC(=O)N(C)C1=O,0.3082,198.22,0.5,66.48,1,3,2,0
C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O,0.2472,238.29,1.35,75.27,2,3,5,0
CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,0.2307,226.28,1.18,75.27,2,3,4,0
C=CCC1(C(C)C)C(=O)NC(=O)NC1=O,0.5607,210.23,0.57,75.27,2,3,3,0
C=CCC1(CC)C(=O)NC(=O)NC1=O,0.6062,196.21,0.32,75.27,2,3,3,0
CCC1(C(C)C)C(=O)NC(=O)NC1=O,0.3178,198.22,0.4,75.27,2,3,2,0
